battery,num,idx,cap,v_mean,v_max,v_min,i_mean,i_max,t_mean,t_max,t_min,dur,pts,ce
B0005,1,2,1.8564874208181574,3.5298286688693397,4.191491807505295,2.612467347907089,1.818711710270297,2.0180146876333027,32.572328114029,38.98218133148803,24.325993424022467,3690.234,197,
B0005,2,4,1.846327249719927,3.5373201277859714,4.189773213846608,2.587208728940726,1.8176438989718113,2.016820542901454,32.72523522519307,39.033397966787035,24.685948163596,3672.344,196,98.7036791744972
B0005,3,6,1.8353491942234077,3.5437367282719,4.188186735991303,2.6519168938437794,1.8165423469233573,2.016573862170142,32.64286193755933,38.818796689817404,24.734266163954402,3651.641,195,98.49826975964045
B0005,4,8,1.8352625275821128,3.5436661072601456,4.188461118855572,2.592947964776547,1.8256179748849433,2.0159359571668354,32.51487646204882,38.7623045063458,24.652243741292516,3631.563,194,98.91294848425409
B0005,5,10,1.8346455082120419,3.5423432526672167,4.188298524761055,2.547419651124539,1.8261478651693803,2.017425579158831,32.38234901543077,38.66539257343368,24.518700434435164,3629.172,194,98.9877054347752
B0005,6,12,1.8356616600675495,3.5413347346347575,4.188815807948604,2.5209480504077413,1.8168998532879652,2.0162347618032066,32.43418218230641,38.75169504640032,24.51442664842638,3652.281,195,98.9976741326046
B0005,7,14,1.8351461429226603,3.5410250495075215,4.18839163793879,2.487927319492314,1.8168378953364732,2.01583310669507,32.480416444757985,38.8207012322275,24.575581239008407,3650.828,195,99.04201069261995
B0005,8,16,1.8257567905665537,3.554133296801584,4.188927891511958,2.6652049047458775,1.8444082717328028,2.0166395518034546,32.41046186109587,38.51713023385634,24.71132429046902,3572.453,191,98.48065675618852
B0005,9,18,1.8247738529891333,3.5529355991467955,4.189029250882121,2.6038584726333673,1.854064004450843,2.018357230695621,32.3461408313,38.526267904657,24.628487294051176,3550.594,190,99.04181700097332
B0005,10,20,1.824613268496936,3.5512057319376997,4.189223427076418,2.552853984885676,1.853658588102974,2.0160718378149842,32.27679750791685,38.52698128472781,24.561560340089137,3551.25,190,99.03341160256574
B0005,11,22,1.8246195526864504,3.549292319740949,4.188916055911241,2.4724483018527317,1.863423718930417,2.0160713863396573,32.15709350345252,38.54143406601644,24.43128509546442,3530.25,189,99.10414768103671
B0005,12,25,1.8142019357673917,3.559759220648976,4.189876247266316,2.64956413267546,1.8730031464912946,2.016851865845563,32.36407129853099,38.52197451768004,24.74037188089418,3491.016,187,98.47601370517326
B0005,13,27,1.8137521577549054,3.558081969139198,4.189286794768804,2.5724981777366227,1.8826602424674959,2.016393908986775,32.3181954403762,38.582485834057856,24.733107699311514,3470.281,186,105.6441443541092
B0005,14,29,1.8134404914735822,3.555692244172496,4.188837765892728,2.5249886697730286,1.8825977111170087,2.0158117255163046,32.15709029211502,38.520294134873915,24.44798340505406,3470.0,186,99.1266756744405
B0005,15,31,1.8025980036306504,3.562746818017503,4.189110301768517,2.694621861688723,1.8818235264274379,2.0193509920362724,32.04407000314609,38.21358592965045,24.463097121123557,3450.297,185,98.47916226017665
B0005,16,33,1.80210690024615,3.5614521756489204,4.18921207304098,2.64010141737067,1.892259778387913,2.0164420273602586,31.931593674911532,38.1983618706913,24.32051139249706,3429.407,184,98.44398262603498
B0005,17,35,1.802579500826209,3.5603420474985823,4.188899969428112,2.5739035098380962,1.9027782137498737,2.016465255161054,31.941655359029298,38.31926916027133,24.357321702352365,3409.484,183,99.04922960058991
B0005,18,37,1.8030683142834096,3.5591189041401865,4.188779799856791,2.4942396831720126,1.9133470605822436,2.0181069603406625,31.965008645476725,38.4787542519308,24.382419922756025,3390.422,182,99.07392774888865
B0005,19,39,1.8027776247196041,3.557886771846508,4.189272591516219,2.4556793246645583,1.9132081421080984,2.0170254305215485,31.966241678512723,38.54659017774874,24.355030419469987,3390.281,182,99.09430325340153
B0005,20,42,1.8470259949329193,3.5520375235511907,4.187614060563439,2.632142800798914,1.8554552597994574,2.01684718332263,32.37143341978575,38.44749852224995,24.549424447285215,3591.734,192,101.47221418745718
B0005,21,46,1.847417311283644,3.5525668436897124,4.1876287811083985,2.5027764692056795,1.8747434663359825,2.016190951623346,32.70024990461686,38.992275791716615,24.917503693363493,3552.297,190,101.90538976920627
B0005,22,50,1.8361774213478947,3.556794038327039,4.187447226312926,2.617507742871704,1.8738792670691689,2.016760348146938,32.32266411829938,38.51424197364312,24.56596639952811,3531.578,189,98.38774801801536
B0005,23,54,1.8257807475776242,3.5614100044534203,4.187344026387161,2.694074478000972,1.883276367037806,2.0160230713598764,31.98795810666763,38.165816144899125,24.21658146702539,3492.907,187,97.83744323948461
B0005,24,58,1.8251136435078368,3.5566107947817986,4.187438187636325,2.6237674644021887,1.8733320556361162,2.01719076462715,31.894456524691385,38.16526203587147,24.054990657817566,3511.594,188,98.42483421891593
B0005,25,62,1.8255815042203762,3.5586742170266272,4.18774138117799,2.5010798299873738,1.9139789784762269,2.0161148625656655,31.78039681801023,38.27549578575718,24.024851602995685,3431.9370000000054,184,98.92007453997532
B0005,26,66,1.8140311275083907,3.564103182686905,4.188261122540052,2.6849988185249796,1.9031048926498,2.0168636304742815,31.688747146342205,37.982160799183106,23.93622764909489,3431.125,184,98.37341381344902
B0005,27,70,1.8147691941158939,3.559588063594272,4.187338767288234,2.547109116468133,1.913471143750189,2.024643671910137,31.596747992569153,38.11100191887773,23.811534187517502,3412.406,183,98.38964936434556
B0005,28,74,1.813969388710352,3.556833231052199,4.187560306288175,2.471314764334132,1.913620909902553,2.017291134571006,31.565586498787077,38.18831137948753,23.754765330883426,3410.688,183,99.0366011911055
B0005,29,78,1.802765665167823,3.5624410850948944,4.18805176248713,2.6613903306108773,1.9026476995844432,2.01713712589233,31.59124667045208,37.998541119085836,23.79410930748377,3410.718,183,98.31208120989973
B0005,30,82,1.804077040117352,3.5591407106855666,4.187667484260542,2.541762355407921,1.9130823665540544,2.0159460285100574,31.603485399391182,38.194201649765226,23.801300986918452,3392.719,182,98.4445969522287
B0005,31,86,1.8518025516704486,3.5573161327793144,4.2010701773378685,2.628919415830567,1.9206226860865134,2.0167372379007014,31.91556385491565,38.45796400011448,23.78129749955371,3470.672,371,101.67492499187702
B0005,32,90,1.8307038456739428,3.561870782772737,4.1996223345495824,2.6312552691827045,1.9298947547733054,2.0183057226929555,32.081128118597164,38.49126351534004,24.2036410699716,3414.109,365,100.25405854994445
B0005,33,94,1.8199041089501267,3.5617586337260088,4.199853323702163,2.654880745360911,1.929319271264108,2.016579511976592,31.849792632896243,38.31473393357882,24.00078927251757,3395.219,363,99.07368632471638
B0005,34,98,1.8093079637028517,3.5597307651083123,4.199103467081427,2.6749688422803803,1.923358415235126,2.0193879194408373,31.465690433362017,37.861934640176806,23.53999092882516,3386.0,362,99.19459515700319
B0005,35,102,1.80460990458052,3.5575937553540915,4.199998536865001,2.6159705726789904,1.9285088406920838,2.015814483813837,31.40934895665031,37.90665575786083,23.566095747572557,3368.187,360,99.55908505038327
B0005,36,106,1.7993770651972192,3.5597237883937995,4.19967522099872,2.658447162110498,1.9231516515854177,2.019901495893039,31.902247475518077,38.34003238560517,23.9730227457941,3368.266,360,99.79479400362682
B0005,37,110,1.7884432335370462,3.559061771422033,4.1991847248803165,2.6979426084271156,1.9170640150939449,2.016522387288751,31.649024294808623,38.0745950590744,23.755161868961988,3358.719,359,99.43847000872928
B0005,38,114,1.7829230484252723,3.557015527748059,4.200012480335,2.6617272246516333,1.922067492364195,2.017112121704317,31.48874626238971,38.07252758016199,23.51454265913581,3339.5,357,99.49019946185832
B0005,39,118,1.7730337158018288,3.5562481933590964,4.1992373656547874,2.699288287625812,1.9162697587781747,2.018009988339822,31.329995610092634,37.80133585100446,23.27146353182613,3331.265,356,99.45726564109731
B0005,40,122,1.773037755078937,3.5532756526091784,4.1993957811187075,2.6127932408838532,1.922122706502154,2.017724236336294,31.569551201845574,38.39873985476869,23.439367870877128,3321.188,355,99.80072771392263
B0005,41,126,1.7678721106662054,3.556266431640255,4.1995786980260705,2.6637064901468075,1.9162735319343263,2.016792488625222,32.111426258867944,38.74929237918251,24.020578317587123,3321.844,355,100.02359448445732
B0005,42,130,1.7623150704093087,3.5563095420140822,4.199546957512695,2.6668454289754746,1.9159257340976645,2.0172551326315866,32.271676011112376,38.87275464755104,24.256086319320033,3311.828,354,99.7407485807005
B0005,43,134,1.7676172924938447,3.558950851054106,4.194091469340824,2.684431051981017,1.9114464682592052,2.0159457514475405,31.842291659678658,38.503541429116005,23.99270220171187,3327.391,179,100.33448732271533
B0005,44,136,1.762668359743147,3.5534418211598053,4.200715235801255,2.645224362345869,1.915844717074932,2.021877555086194,31.759815453754253,38.27009094548294,23.826487051861594,3312.078,354,100.36083460736603
B0005,45,140,1.7517304870664143,3.5510121537420285,4.1990980807180325,2.6603527244917,1.9151339148316244,2.0169903181968984,31.41911167391793,38.11684755251712,23.348558306380394,3293.172,352,99.11102714227992
B0005,46,144,1.7418496047960008,3.551317608213948,4.199398534411534,2.6926849789916263,1.9148572716406749,2.016185456554963,31.331626572312267,38.04152715355532,23.236214188565974,3275.328,350,99.17187450146793
B0005,47,148,1.7360913511847138,3.549003180550162,4.199122915612965,2.670544734728978,1.9144233171408105,2.0170647431651068,31.35934131425137,38.17980302242767,23.214801785728056,3265.016,349,99.43581207892859
B0005,48,150,1.7936240148573608,3.5597648340955175,4.190409478081396,2.605158060541757,1.9389033648133622,2.0168134548386294,34.31088483888259,40.71218198711114,26.647373946169793,3328.937,356,103.30961495799535
B0005,49,154,1.7831890223273275,3.5623454342368555,4.199933846791869,2.672012007453096,1.9275345758657751,2.0165540953857675,33.43585640373788,39.885261233152924,25.69911743242072,3329.266,356,103.19869126779318
