battery,num,idx,re,rct,battery_impedance
B0007,1,41,0.03816813609946085,0.06158094574229446,-0.09963270993545563
B0007,2,43,0.042352200255114755,0.07946205744298855,0.11042371978101274
B0007,3,45,0.03971312292013592,0.06180654339682964,-0.10350906656475028
B0007,4,47,0.04171928239305599,0.08085099253522705,0.0662095000842506
B0007,5,49,0.03840146399106517,0.06100130384680727,-0.10202087660846569
B0007,6,51,0.041725543288745344,0.07324252372827775,-0.5998055529916778
B0007,7,53,0.0371051772037323,0.06007565108189894,-0.10387724073654642
B0007,8,55,0.039929523505293565,0.07752548996987343,-3.033125225036406
B0007,9,57,0.037833946033938984,0.061293760421866045,0.07311928896207251
B0007,10,59,0.040868280768717374,0.07683869552898764,1.50994095389551
B0007,11,61,0.037520425405365855,0.060073134186248135,-0.10389602087372124
B0007,12,63,0.04169865656080958,0.0720729677827527,-3.413323307253259
B0007,13,65,0.03739727137150672,0.0612330724542185,-0.10656685499614117
B0007,14,67,0.03998676920342006,0.07363674363826805,-1.2719701276839073
B0007,15,69,0.03591968009886427,0.06057069111701671,-0.10433647011307047
B0007,16,71,0.04146824914736063,0.06954303801749961,-4.908956990484171
B0007,17,73,0.03738579892114978,0.06131737602920535,-0.1052015986820986
B0007,18,75,0.040910536950841486,0.06973813181143433,-4.556998055069329
B0007,19,77,0.03789058841967389,0.06032875855026001,-0.10642027087133284
B0007,20,79,0.040097248859574955,0.07288145197811349,-2.352305022283574
B0007,21,81,0.03715722957533256,0.06103479269674707,0.1720634887122249
B0007,22,83,0.04119201955867326,0.06848356653346994,2.5381005819928073
B0007,23,87,0.04105669646645134,0.07065997133250308,0.16150682217217893
B0007,24,89,0.041759405414555945,0.06445608820977453,0.15071499378859574
B0007,25,91,0.04119459773687198,0.07022095542831697,0.16117027193584793
B0007,26,93,0.04232704798626884,0.06414150947613172,0.1530110450396809
B0007,27,95,0.03996874022966617,0.06812474119697177,0.15583659130326413
B0007,28,97,0.03967286398299121,0.06333755034552216,0.14863745177355003
B0007,29,99,0.03979410788978178,0.06877945536158117,0.154902970401806
B0007,30,101,0.04046536725285732,0.06397225205950727,0.1508953133563485
B0007,31,103,0.04093901824195282,0.06675223084774302,0.1539578392456804
B0007,32,105,0.04083099544598788,0.06292223531520325,0.14990832085139316
B0007,33,107,0.041067363565729334,0.0662850303940424,0.15463156857222976
B0007,34,109,0.04078701229987664,0.06338858492819599,0.1477904160805379
B0007,35,111,0.041661708894818184,0.06816357758679417,0.15684550390606083
B0007,36,113,0.03981735939635393,0.06446689612483536,0.15100100554928145
B0007,37,115,0.040333531003242,0.06552022262244311,0.1523984358972589
B0007,38,117,0.03879098770177327,0.06280987925671022,0.14731178334312026
B0007,39,119,0.039800320946257906,0.06501329487260551,0.15344016882640069
B0007,40,121,0.04135849902166442,0.06409309629130175,0.1540559321188648
B0007,41,123,0.04068161380288319,0.06480202845662458,0.151506400836554
B0007,42,125,0.04198813216408782,0.06290743673977844,0.15083956762878495
B0007,43,127,0.04069176276675313,0.06403224799847893,0.1514960938115013
B0007,44,129,0.0410635565050997,0.06183018814159419,0.1473416052585286
B0007,45,131,0.04036112042873984,0.06359181730010477,0.1496190869360864
B0007,46,133,0.0397095688006817,0.06308316873083149,0.14652072015388143
B0007,47,137,0.04725020480421689,0.07272586091049475,0.1611616721313961
B0007,48,139,0.04658869845988432,0.06938696400889426,0.15670522612276377
B0007,49,141,0.046165351746082724,0.07140516250476096,0.15955858844960313
B0007,50,143,0.045058966847244336,0.06928051739204368,0.1581646561394629
B0007,51,145,0.04588397322290627,0.06926007196689592,0.15736494006104976
B0007,52,147,0.04581384765227875,0.06966533025568689,0.16055727524229998
B0007,53,151,0.04922145778943997,0.07134263821575189,0.16527469926729876
B0007,54,153,0.04888655382152031,0.06968514370622465,0.15894956255731688
B0007,55,155,0.0483951365393567,0.07135159504195451,0.1619904003740228
B0007,56,157,0.04805522182634865,0.06988641944387855,0.1585969528413714
B0007,57,159,0.04880060650708679,0.07055158255812932,0.16253655638799652
B0007,58,161,0.047509200748586077,0.07037254012210739,0.15961245422512085
B0007,59,163,0.047771007804623865,0.07071182578495028,0.15960368511000775
B0007,60,165,0.048179914298366426,0.07048007986898036,0.1598803702849914
B0007,61,167,0.04807094716422849,0.07168496170621791,0.16042348223159852
B0007,62,169,0.04853240735824653,0.07034952369656776,0.16168733691586054
B0007,63,171,0.04812925712317766,0.07103622899681207,0.1600709567017836
B0007,64,173,0.04974625536405859,0.07095960275807538,0.15965106671916746
B0007,65,175,0.04905350092860657,0.0716505512430741,0.16015871418621114
B0007,66,177,0.04989362821249148,0.06988750479775756,0.16096866519024983
B0007,67,179,0.047713850867314125,0.07104861014688077,0.1588314529684931
B0007,68,181,0.04762093306188868,0.06959637470924757,0.16263036394133662
B0007,69,183,0.04799398254598553,0.07155340020297168,0.1618162958146205
B0007,70,185,0.04647996212810349,0.07109805169409975,0.16126549247692
B0007,71,187,0.04743838010781302,0.07011601815239543,0.15619360136646832
B0007,72,189,0.04796925031131609,0.07089251138004057,0.16013686629099042
B0007,73,191,0.048992220667641126,0.07040814900058472,0.16160139356346473
B0007,74,193,0.04822541815588505,0.07097691576307026,0.16013347411171328
B0007,75,195,0.04821470056663109,0.06961687203754899,0.16074946912259916
B0007,76,197,0.04908955036286932,0.07022873713037443,0.1627445489334124
B0007,77,199,0.047912972518477946,0.06948120171428374,0.16162896523086281
B0007,78,201,0.048817413924019566,0.07189407403925935,0.1620797838968968
B0007,79,203,0.04761040788727024,0.0703612147830665,0.1577344560502406
B0007,80,205,0.04889219507251717,0.07012605128802055,0.16143115768730787
B0007,81,207,0.048347237713963785,0.07029953014036178,0.15858642921368743
B0007,82,209,0.04742321873077289,0.06907761875176498,0.16049735203747764
B0007,83,211,0.050111225517516046,0.06960073254899966,0.1620463262733615
B0007,84,213,0.048460437754935325,0.0708375336017697,0.16292003878438727
B0007,85,217,0.04874528416849275,0.07248947480976828,0.1604274072579231
B0007,86,219,0.04890922045962195,0.07224375321168745,0.16304335116063642
B0007,87,221,0.04834801429353973,0.07007227991852431,0.15950419177057576
B0007,88,223,0.05049341528042814,0.0714779278737494,0.16391478500622944
B0007,89,225,0.04790614551385609,0.07076656687245311,0.1582410567582291
B0007,90,227,0.049653807534869046,0.07281511275371025,0.16381493423959576
B0007,91,229,0.04815631252607322,0.07031487671206166,0.16198685776570837
B0007,92,231,0.049804698569480284,0.07183693248710026,0.16309511613634345
B0007,93,233,0.04871866527250497,0.07073110778960329,0.1616794264369542
B0007,94,235,0.04960142143548596,0.07212114083797687,0.16394012610884143
B0007,95,237,0.04830978182442808,0.07064084986534173,0.16086300160721473
B0007,96,239,0.04933286951263678,0.07263784411726666,0.16388513054434198
B0007,97,241,0.04802200703480097,0.07107634151010893,0.15840653996373036
B0007,98,243,0.048245150285560964,0.07344417258506274,0.1627558998096741
B0007,99,245,0.04887856396815102,0.07067979605623653,0.15932763125977142
B0007,100,247,0.05001512861656075,0.07381936636092858,0.16378102560376284
B0007,101,249,0.04912443706060332,0.07004253090015103,0.15864248233695102
B0007,102,251,0.047456705587096075,0.07255600991617446,0.1608567277968417
B0007,103,253,0.04893713330364649,0.07109876809149202,0.16064955496946645
